RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage 1,current 1,power 1,voltage 2,current 2,power 2
2023-07-28, 10:38:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:04, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:07, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:09, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:13, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:14, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:19, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:20, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:25, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:26, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:27, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:28, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:29, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:30, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:31, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:33, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:34, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:35, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:36, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:37, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:39, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:40, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:46, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:38:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:39:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
